Taxa,Acc
hpev_4/KC893353/Netherlands/2009,KC893353
hpev_4/FJ373164/Netherlands/2004,FJ373164
hpev_6/LC129277/Japan/Yamagata/2004,LC129277
hpev_6/LC062402/Japan/Niigata/2006,LC062402
hpev_6/KC893388/Netherlands/2007,KC893388
hpev_6/KC893377/Netherlands/2007,KC893377
hpev_3/KY556670/Australia/2015,KY556670
hpev_3/KY556662/Australia/2015,KY556662
hpev_3/KY556666/Australia/2015,KY556666
hpev_3/KY556664/Australia/2015,KY556664
hpev_3/KY556667/Australia/2015,KY556667
hpev_3/KY556668/Australia/2015,KY556668
hpev_3/KY556665/Australia/2015,KY556665
hpev_3/KP772256/USA/2014,KP772256
hpev_3/KF574285/SouthKorea/Jinju/2013,KF574285
hpev_3/KF574278/SouthKorea/Jinju/2013,KF574278
hpev_3/KF574281/SouthKorea/Jinju/2013,KF574281
hpev_3/KF574277/SouthKorea/Jinju/2012,KF574277
hpev_3/KF574284/SouthKorea/Jinju/2013,KF574284
hpev_3/LC133410/Japan/Kanagawa/YokohamaCity/2011,LC133410
hpev_3/AB759160/Japan/Yamagata/2011,AB759160
hpev_3/AB759149/Japan/Yamagata/2011,AB759149
hpev_3/AB759207/Japan/Yamagata/2011,AB759207
hpev_3/AB759169/Japan/Yamagata/2011,AB759169
hpev_3/AB759196/Japan/Yamagata/2011,AB759196
hpev_3/AB759159/Japan/Yamagata/2011,AB759159
hpev_3/KC887317/Taiwan/2011,KC887317
hpev_3/LC133399/Japan/Kanagawa/YokohamaCity/2011,LC133399
hpev_3/KC196296/SouthKorea/2011,KC196296
hpev_3/LC133423/Japan/Kanagawa/YokohamaCity/2014,LC133423
hpev_3/AB905420/Japan/Niigata/2013,AB905420
hpev_3/LC028042/Japan/2014,LC028042
hpev_3/LC028025/Japan/2014,LC028025
hpev_unknown/AB300947//2002,AB300947
hpev_3/JF919657/USA/2009,JF919657
hpev_3/JF919645/USA/2009,JF919645
hpev_3/JF919648/USA/2009,JF919648
hpev_3/JF919635/USA/2009,JF919635
hpev_3/JQ229436/France/Lyon/2009,JQ229436
hpev_3/JF919660/USA/2009,JF919660
hpev_3/JF919636/USA/2009,JF919636
hpev_3/JF919668/USA/2009,JF919668
hpev_3/JF919653/USA/2009,JF919653
hpev_3/JF919654/USA/2009,JF919654
hpev_3/KC887314/Taiwan/2007,KC887314
hpev_3/KC893415/Netherlands/2008,KC893415
hpev_3/KC893414/Netherlands/2008,KC893414
hpev_3/FJ373196/Netherlands/2006,FJ373196
hpev_3/FJ373199/Netherlands/2006,FJ373199
hpev_3/JF919634/USA/2009,JF919634
hpev_3/JF919659/USA/2009,JF919659
hpev_3/FJ373148/Netherlands/2004,FJ373148
hpev_3/FJ373140/Netherlands/2004,FJ373140
hpev_3/FJ373155/Netherlands/2004,FJ373155
hpev_3/FJ373154/Netherlands/2004,FJ373154
hpev_3/FJ373195/Netherlands/2006,FJ373195
hpev_3/FJ373192/Netherlands/2006,FJ373192
hpev_3/JF919643/USA/2009,JF919643
hpev_3/AB759191/Japan/Yamagata/2008,AB759191
hpev_unknown/AB300974//2006,AB300974
hpev_3/LC027488/Japan/Niigata/2014,LC027488
hpev_3/LC027484/Japan/Niigata/2014,LC027484
hpev_3/LC133434/Japan/Kanagawa/YokohamaCity/2014,LC133434
hpev_3/LC027487/Japan/Niigata/2014,LC027487
hpev_3/LC062442/Japan/Niigata/2014,LC062442
hpev_3/LC027502/Japan/Niigata/2014,LC027502
hpev_3/LC133420/Japan/Kanagawa/YokohamaCity/2014,LC133420
hpev_3/LC027481/Japan/Niigata/2014,LC027481
hpev_3/LC027495/Japan/Niigata/2014,LC027495
hpev_3/LC027482/Japan/Niigata/2014,LC027482
hpev_3/LC027507/Japan/Niigata/2014,LC027507
hpev_3/LC064072/Japan/Chiba/2014,LC064072
hpev_3/LC027491/Japan/Niigata/2014,LC027491
hpev_3/LC133419/Japan/Kanagawa/YokohamaCity/2014,LC133419
hpev_3/LC062440/Japan/Niigata/2014,LC062440
hpev_3/LC129276/Japan/Yamagata/2004,LC129276
hpev_3/LC027515/Japan/Niigata/2014,LC027515
hpev_3/AB759186/Japan/Yamagata/2008,AB759186
hpev_3/LC027490/Japan/Niigata/2014,LC027490
hpev_3/LC027493/Japan/Niigata/2014,LC027493
hpev_3/LC043121/Japan/Yamagata/2014,LC043121
hpev_3/LC043126/Japan/Yamagata/2014,LC043126
hpev_3/LC027489/Japan/Niigata/2014,LC027489
hpev_3/LC062448/Japan/Niigata/2014,LC062448
hpev_3/LC062429/Japan/Niigata/2008,LC062429
hpev_3/LC027499/Japan/Niigata/2014,LC027499
hpev_3/KC887310/Taiwan/2007,KC887310
hpev_3/LC133381/Japan/Kanagawa/YokohamaCity/2006,LC133381
hpev_3/LC133380/Japan/Kanagawa/YokohamaCity/2006,LC133380
hpev_3/EU360573/Norway/2006,EU360573
hpev_3/KX356648/USA/MO/2014,KX356648
hpev_3/KX356619/USA/MO/2014,KX356619
hpev_3/KX356643/USA/MO/2014,KX356643
hpev_3/KX356627/USA/MO/2014,KX356627
